incident_id,opened_at,resolved_at,priority,state,category,subcategory,assignment_group,assignee,channel,location,configuration_item,time_to_first_response_minutes,time_to_resolve_minutes,reopen_count,customer_satisfaction,sla_target_minutes,sla_breached
INC100010,2025-07-23 02:05:11,2025-07-23 02:56:11,P4,Resolved,Access,Provisioning,Service Desk,service.otgnx,Monitoring,Hyderabad,Web-Frontend,6,51.0,0,5.0,2880,False
INC100011,2025-05-23 13:30:28,2025-05-23 14:16:28,P4,Closed,Inquiry,How-to,Payments,payments.dscrw,API,Mumbai,Kubernetes-Cluster,8,46.0,0,5.0,2880,False
INC100012,2024-12-08 10:35:19,2024-12-08 11:57:19,P4,Closed,Network,Outage,DevOps,devops.mdocg,Monitoring,Mumbai,Cache-Redis,18,82.0,0,5.0,2880,False
INC100013,2025-04-21 22:41:27,2025-04-21 23:24:27,P3,Closed,Hardware,Peripheral,Mobile,mobile.vnejz,API,Hyderabad,Analytics-ETL,19,43.0,1,5.0,1440,False
INC100014,2024-12-18 20:07:30,2024-12-18 20:28:30,P3,Resolved,Hardware,Server,App Support,app.zygvs,Phone,Remote,VPN-Gateway,14,21.0,0,4.0,1440,False
INC100015,2025-04-22 12:54:45,2025-04-22 14:25:45,P3,Closed,Network,Firewall,Security,security.fnuce,Portal,Remote,Kubernetes-Cluster,10,91.0,0,5.0,1440,False
INC100016,2024-11-12 16:54:12,2024-11-12 18:32:12,P4,Resolved,Hardware,Peripheral,Network,network.hyovr,Monitoring,Bangalore,Email-Server,27,98.0,0,5.0,2880,False
INC100017,2024-10-15 15:45:05,,P4,New,Network,VPN,Infra,infra.rndri,API,Chennai,VPN-Gateway,14,,0,4.0,2880,False
INC100018,2025-01-27 11:56:07,2025-01-27 12:30:07,P2,Closed,Software,Deployment,Analytics,analytics.fslkd,Phone,Remote,Kubernetes-Cluster,24,34.0,0,,240,False
INC100019,2025-03-21 15:08:27,,P4,On Hold,Access,SSO,Service Desk,service.frrej,Monitoring,Pune,Kubernetes-Cluster,9,,0,4.0,2880,False
INC100020,2024-10-10 07:56:13,2024-10-10 08:16:13,P2,Resolved,Access,RBAC,Payments,payments.pokky,Email,Hyderabad,Email-Server,19,20.0,0,5.0,240,False
INC100021,2024-10-27 16:11:17,2024-10-27 17:11:17,P3,Closed,Inquiry,Reporting,DBA,dba.yubns,Phone,Mumbai,Kubernetes-Cluster,28,60.0,0,3.0,1440,False
INC100022,2024-09-26 17:06:09,2024-09-26 17:27:09,P3,Resolved,Hardware,Datacenter,Infra,infra.oxqwy,Monitoring,Hyderabad,DB-Prod,11,21.0,0,4.0,1440,False
INC100023,2024-12-03 06:05:51,2024-12-03 06:15:51,P4,Resolved,Inquiry,Reporting,Security,security.semtw,Phone,Chennai,Payments-API,8,10.0,0,,2880,False
INC100024,2024-08-20 04:42:35,2024-08-20 13:44:35,P4,Resolved,Software,Performance,Payments,payments.haywc,Portal,Delhi,DB-Prod,20,542.0,1,4.0,2880,False
INC100025,2025-02-19 18:33:56,2025-02-19 18:43:56,P3,Resolved,Access,Password,Infra,infra.lfjhk,Portal,Remote,Email-Server,27,10.0,1,,1440,False
INC100026,2024-09-02 14:45:52,,P2,New,Software,Deployment,Infra,infra.qbidb,Portal,Remote,Billing-Service,17,,0,,240,False
INC100027,2024-12-10 05:57:13,2024-12-10 06:22:13,P3,Closed,Software,Bug,DevOps,devops.taelo,Email,Remote,VPN-Gateway,15,25.0,0,5.0,1440,False
INC100028,2024-10-23 13:33:09,2024-10-23 14:03:09,P4,Closed,Hardware,Server,Infra,infra.mfubt,Portal,Mumbai,Search-Cluster,31,30.0,0,5.0,2880,False
INC100029,2025-08-05 06:26:04,,P3,In Progress,Software,Error,Network,network.gsndb,Email,Pune,Analytics-ETL,27,,0,5.0,1440,False
INC100030,2024-12-09 05:19:39,2024-12-09 06:20:39,P3,Closed,Access,Password,Payments,payments.yrcui,Portal,Pune,Analytics-ETL,6,61.0,0,5.0,1440,False
INC100031,2024-12-04 16:54:08,2024-12-04 17:04:08,P2,Resolved,Inquiry,Feedback,Security,security.ibooz,Phone,Remote,Cache-Redis,16,10.0,0,4.0,240,False
INC100032,2024-10-24 11:17:46,2024-10-24 11:24:46,P3,Resolved,Access,RBAC,Security,security.jxivh,Monitoring,Pune,Cache-Redis,18,7.0,0,4.0,1440,False
INC100033,2024-12-20 04:14:50,2024-12-20 06:14:50,P3,Closed,Hardware,Datacenter,Network,network.hqrat,Monitoring,Delhi,Email-Server,32,120.0,0,,1440,False
INC100034,2024-10-28 18:16:30,2024-10-28 18:33:30,P4,Resolved,Access,SSO,App Support,app.pymgk,Portal,Remote,Cache-Redis,23,17.0,1,4.0,2880,False
INC100035,2025-07-17 03:10:33,2025-07-17 04:10:33,P2,Closed,Network,Outage,Payments,payments.slbwh,Monitoring,Bangalore,Analytics-ETL,13,60.0,0,5.0,240,False
INC100036,2025-01-19 05:08:43,,P4,In Progress,Inquiry,Feedback,Infra,infra.kvqth,Portal,Mumbai,DB-Prod,17,,0,4.0,2880,False
INC100037,2025-04-24 19:49:15,2025-04-24 20:47:15,P3,Closed,Network,VPN,Service Desk,service.kskrq,Portal,Delhi,Search-Cluster,3,58.0,1,4.0,1440,False
INC100038,2025-08-01 07:37:51,2025-08-01 09:44:51,P3,Resolved,Network,Latency,Mobile,mobile.rkmfb,API,Mumbai,Analytics-ETL,24,127.0,0,,1440,False
INC100039,2025-06-23 15:26:06,2025-06-23 15:47:06,P3,Resolved,Hardware,Server,Payments,payments.fblxe,API,Remote,DB-Prod,21,21.0,0,5.0,1440,False
INC100040,2025-01-12 09:30:37,2025-01-12 09:37:37,P4,Resolved,Software,Deployment,DBA,dba.glnbz,API,Delhi,Billing-Service,27,7.0,0,4.0,2880,False
INC100041,2025-04-08 02:15:25,2025-04-08 04:22:25,P4,Closed,Network,Outage,Service Desk,service.eyaiy,Email,Remote,Email-Server,13,127.0,0,3.0,2880,False
INC100042,2025-03-02 03:51:10,,P4,New,Access,Password,Network,network.qucko,API,Delhi,Web-Frontend,16,,0,5.0,2880,False
INC100043,2024-10-17 13:53:01,,P3,New,Software,Deployment,Infra,infra.rdgcl,Portal,Remote,Billing-Service,10,,2,5.0,1440,False
INC100044,2025-03-23 19:12:50,2025-03-23 19:39:50,P3,Resolved,Access,Password,App Support,app.rgvrs,Phone,Bangalore,Billing-Service,3,27.0,1,5.0,1440,False
INC100045,2025-07-04 05:40:06,,P4,On Hold,Access,RBAC,DBA,dba.qhlmq,API,Mumbai,Analytics-ETL,8,,1,3.0,2880,False
INC100046,2025-07-16 11:41:39,2025-07-16 13:24:39,P4,Resolved,Software,Performance,App Support,app.kxhag,API,Delhi,Email-Server,3,103.0,0,,2880,False
INC100047,2025-07-06 23:26:55,2025-07-06 23:47:55,P2,Closed,Software,Performance,App Support,app.qfpyc,Phone,Bangalore,Payments-API,24,21.0,1,4.0,240,False
INC100048,2025-06-04 13:58:16,2025-06-04 14:08:16,P4,Closed,Access,Provisioning,Analytics,analytics.qpsxa,Portal,Hyderabad,Kubernetes-Cluster,6,10.0,0,3.0,2880,False
INC100049,2024-09-16 02:33:08,2024-09-16 03:12:08,P3,Resolved,Hardware,Peripheral,DevOps,devops.cijfr,Email,Remote,Billing-Service,35,39.0,1,4.0,1440,False
INC100050,2025-06-12 09:13:22,2025-06-12 09:29:22,P2,Closed,Inquiry,Other,DBA,dba.ilbqi,API,Chennai,Cache-Redis,2,16.0,1,,240,False
INC100051,2024-09-18 19:44:06,2024-09-18 19:58:06,P3,Resolved,Inquiry,Reporting,Mobile,mobile.owysh,Phone,Delhi,DB-Prod,29,14.0,0,,1440,False
INC100052,2025-07-06 05:01:08,2025-07-06 05:24:08,P3,Closed,Hardware,Laptop,DevOps,devops.wrzdg,Portal,Pune,Payments-API,5,23.0,0,5.0,1440,False
INC100053,2025-05-03 20:02:16,2025-05-03 20:37:16,P3,Closed,Software,Deployment,DBA,dba.odhmp,Monitoring,Bangalore,Email-Server,20,35.0,0,4.0,1440,False
INC100054,2024-12-23 20:10:14,,P3,In Progress,Access,SSO,App Support,app.wwjao,Email,Bangalore,Web-Frontend,7,,0,5.0,1440,False
INC100055,2025-05-17 01:02:09,2025-05-17 02:42:09,P2,Resolved,Inquiry,How-to,DevOps,devops.puspc,Phone,Delhi,Search-Cluster,31,100.0,0,5.0,240,False
INC100056,2025-02-12 14:47:31,2025-02-12 15:43:31,P2,Closed,Access,Provisioning,DBA,dba.bryku,Phone,Bangalore,Payments-API,15,56.0,0,4.0,240,False
INC100057,2025-04-09 17:24:40,2025-04-09 17:48:40,P3,Closed,Hardware,Datacenter,Mobile,mobile.goyau,Phone,Hyderabad,Web-Frontend,25,24.0,0,4.0,1440,False
INC100058,2025-04-09 08:47:55,2025-04-09 09:03:55,P4,Resolved,Access,SSO,Service Desk,service.iyzww,API,Bangalore,Analytics-ETL,15,16.0,0,,2880,False
INC100059,2024-09-27 04:22:37,2024-09-27 04:52:37,P3,Resolved,Hardware,Datacenter,Payments,payments.uafwj,Monitoring,Chennai,VPN-Gateway,18,30.0,0,4.0,1440,False
INC100060,2025-02-19 10:01:21,2025-02-19 11:09:21,P1,Resolved,Software,Error,Infra,infra.vdnmk,Email,Chennai,Kubernetes-Cluster,21,68.0,0,4.0,60,True
INC100061,2024-12-26 10:42:01,2024-12-26 11:42:01,P2,Resolved,Hardware,Server,DBA,dba.urfwj,Portal,Remote,Analytics-ETL,9,60.0,0,5.0,240,False
INC100062,2024-09-04 23:08:09,2024-09-05 00:25:09,P4,Closed,Hardware,Server,Mobile,mobile.yzwdg,Portal,Remote,Email-Server,2,77.0,0,5.0,2880,False
INC100063,2025-03-01 23:16:04,2025-03-01 23:38:04,P3,Closed,Inquiry,Other,Payments,payments.kjdtl,Monitoring,Pune,VPN-Gateway,1,22.0,0,4.0,1440,False
INC100064,2025-03-22 07:28:01,2025-03-22 07:31:01,P3,Resolved,Access,RBAC,DevOps,devops.nqrkx,Phone,Hyderabad,Web-Frontend,15,3.0,0,5.0,1440,False
INC100065,2025-04-01 23:01:39,2025-04-02 00:30:39,P1,Resolved,Inquiry,How-to,DBA,dba.uujcd,Phone,Chennai,VPN-Gateway,10,89.0,0,,60,True
INC100066,2025-07-15 14:19:07,2025-07-15 14:47:07,P4,Resolved,Network,Outage,DBA,dba.khkup,Phone,Delhi,Search-Cluster,6,28.0,0,5.0,2880,False
INC100067,2024-12-28 20:32:46,,P3,On Hold,Hardware,Server,Network,network.lnwcy,Phone,Mumbai,Cache-Redis,20,,0,,1440,False
INC100068,2025-02-12 18:21:47,2025-02-12 20:26:47,P3,Resolved,Network,Firewall,DBA,dba.buidk,Phone,Mumbai,Cache-Redis,2,125.0,1,5.0,1440,False
INC100069,2025-04-17 03:08:54,2025-04-17 07:00:54,P2,Resolved,Inquiry,Other,Infra,infra.kivsa,Monitoring,Mumbai,Analytics-ETL,3,232.0,1,5.0,240,False
INC100070,2024-09-18 21:39:55,2024-09-18 21:58:55,P3,Resolved,Access,RBAC,Network,network.btleb,API,Remote,Analytics-ETL,14,19.0,1,4.0,1440,False
INC100071,2025-01-14 14:30:20,2025-01-14 15:06:20,P4,Resolved,Inquiry,Feedback,Payments,payments.lchst,Email,Delhi,Email-Server,5,36.0,0,4.0,2880,False
INC100072,2025-04-28 00:38:31,2025-04-28 02:16:31,P4,Resolved,Access,Password,DevOps,devops.edlpq,Phone,Bangalore,Email-Server,16,98.0,1,4.0,2880,False
INC100073,2025-01-22 00:24:14,,P3,On Hold,Access,SSO,DevOps,devops.qohok,API,Delhi,DB-Prod,34,,0,4.0,1440,False
INC100074,2024-11-01 01:13:06,2024-11-01 01:33:06,P4,Resolved,Software,Performance,Security,security.hrylw,Portal,Bangalore,Search-Cluster,11,20.0,0,5.0,2880,False
INC100075,2025-01-18 15:07:57,,P2,In Progress,Hardware,Laptop,Security,security.pighr,Monitoring,Mumbai,Email-Server,4,,1,4.0,240,False
INC100076,2024-09-09 15:42:08,2024-09-09 16:14:08,P3,Resolved,Inquiry,Reporting,Payments,payments.fttwu,API,Pune,Billing-Service,16,32.0,0,5.0,1440,False
INC100077,2024-10-06 02:14:59,2024-10-06 02:41:59,P4,Resolved,Access,RBAC,Analytics,analytics.ckemc,Phone,Pune,Search-Cluster,7,27.0,0,4.0,2880,False
INC100078,2024-12-23 16:34:57,2024-12-23 16:54:57,P3,Resolved,Inquiry,Reporting,Mobile,mobile.vnetu,Phone,Bangalore,DB-Prod,15,20.0,0,5.0,1440,False
INC100079,2025-06-26 19:07:19,2025-06-26 19:22:19,P4,Closed,Inquiry,How-to,Analytics,analytics.ktaub,Phone,Mumbai,Cache-Redis,18,15.0,0,5.0,2880,False
INC100080,2025-05-12 12:24:35,2025-05-12 13:27:35,P2,Closed,Access,Provisioning,Mobile,mobile.isoml,API,Delhi,Payments-API,14,63.0,0,4.0,240,False
INC100081,2025-08-03 03:26:57,2025-08-03 05:02:57,P3,Closed,Network,Firewall,Network,network.zavpa,Phone,Pune,DB-Prod,15,96.0,1,4.0,1440,False
INC100082,2025-01-29 02:14:21,2025-01-29 04:02:21,P3,Resolved,Hardware,Datacenter,Payments,payments.tyzse,API,Bangalore,DB-Prod,16,108.0,0,3.0,1440,False
INC100083,2025-03-27 20:43:49,2025-03-27 21:05:49,P3,Closed,Hardware,Server,Mobile,mobile.hplef,Phone,Delhi,Analytics-ETL,30,22.0,0,,1440,False
INC100084,2025-04-15 10:30:13,,P4,In Progress,Software,Deployment,Security,security.lwizx,Portal,Mumbai,Kubernetes-Cluster,12,,0,5.0,2880,False
INC100085,2025-05-04 12:13:55,2025-05-04 12:53:55,P2,Resolved,Software,Bug,Security,security.mfaeo,Portal,Hyderabad,VPN-Gateway,16,40.0,0,3.0,240,False
INC100086,2025-05-02 20:25:25,,P4,On Hold,Software,Deployment,App Support,app.spoaj,Email,Mumbai,Cache-Redis,23,,0,4.0,2880,False
INC100087,2024-08-22 03:30:36,2024-08-22 04:29:36,P3,Closed,Hardware,Server,Mobile,mobile.lfxgs,Phone,Remote,Web-Frontend,19,59.0,0,4.0,1440,False
INC100088,2024-09-29 11:45:02,2024-09-29 12:05:02,P3,Resolved,Network,Latency,Payments,payments.pmhkn,Phone,Mumbai,Web-Frontend,11,20.0,0,4.0,1440,False
INC100089,2025-06-30 12:35:29,2025-06-30 12:59:29,P4,Resolved,Hardware,Server,Service Desk,service.epdkg,API,Delhi,Email-Server,24,24.0,0,,2880,False
INC100090,2024-11-11 06:36:09,2024-11-11 06:47:09,P4,Closed,Hardware,Peripheral,Network,network.sihjn,API,Delhi,Cache-Redis,6,11.0,0,,2880,False
INC100091,2025-03-27 19:04:11,2025-03-27 19:26:11,P2,Closed,Hardware,Server,DBA,dba.okutk,Phone,Chennai,Billing-Service,12,22.0,0,5.0,240,False
INC100092,2024-11-26 08:49:37,2024-11-26 09:29:37,P4,Resolved,Hardware,Laptop,DBA,dba.yiomx,Email,Chennai,Email-Server,7,40.0,0,,2880,False
INC100093,2025-03-31 22:48:41,2025-04-01 00:44:41,P2,Resolved,Network,Firewall,Mobile,mobile.rfojp,Phone,Delhi,Email-Server,20,116.0,0,4.0,240,False
INC100094,2025-03-15 21:35:57,2025-03-15 21:59:57,P1,Resolved,Software,Deployment,Analytics,analytics.wrssc,API,Delhi,DB-Prod,26,24.0,0,4.0,60,False
INC100095,2025-04-13 19:22:11,2025-04-13 19:36:11,P3,Closed,Inquiry,Feedback,Network,network.pdyzs,Phone,Hyderabad,Cache-Redis,17,14.0,1,4.0,1440,False
INC100096,2025-03-13 07:06:53,2025-03-13 08:55:53,P4,Resolved,Software,Performance,DevOps,devops.vrptp,API,Hyderabad,VPN-Gateway,15,109.0,0,4.0,2880,False
INC100097,2024-09-23 06:27:42,2024-09-23 06:49:42,P2,Resolved,Software,Bug,Infra,infra.igptb,Phone,Mumbai,Email-Server,6,22.0,0,4.0,240,False
INC100098,2025-06-24 14:37:02,2025-06-24 14:45:02,P4,Closed,Inquiry,Reporting,DBA,dba.niobb,Monitoring,Remote,Kubernetes-Cluster,7,8.0,1,5.0,2880,False
INC100099,2024-12-24 00:13:59,2024-12-24 00:49:59,P2,Resolved,Hardware,Peripheral,Security,security.dssyc,API,Pune,Search-Cluster,3,36.0,1,3.0,240,False
INC100100,2024-08-25 12:51:25,2024-08-25 13:16:25,P4,Closed,Network,Firewall,Network,network.zsumu,Email,Remote,Billing-Service,6,25.0,1,4.0,2880,False
INC100101,2024-09-21 07:46:30,2024-09-21 11:14:30,P3,Resolved,Network,Outage,Analytics,analytics.ygiwx,Monitoring,Hyderabad,Billing-Service,11,208.0,0,4.0,1440,False
INC100102,2025-05-04 22:53:47,2025-05-04 23:41:47,P4,Resolved,Software,Performance,Payments,payments.pztog,Phone,Mumbai,Email-Server,12,48.0,0,4.0,2880,False
INC100103,2025-06-21 10:52:40,2025-06-21 11:21:40,P3,Closed,Inquiry,Reporting,Analytics,analytics.lcfgq,API,Remote,Kubernetes-Cluster,36,29.0,1,5.0,1440,False
INC100104,2024-08-30 15:48:13,2024-08-30 16:03:13,P4,Resolved,Access,RBAC,Network,network.lsjlr,Monitoring,Bangalore,Search-Cluster,30,15.0,0,4.0,2880,False
INC100105,2025-04-25 10:29:59,2025-04-25 11:12:59,P4,Resolved,Hardware,Laptop,DevOps,devops.kdfha,Email,Chennai,Payments-API,20,43.0,0,4.0,2880,False
INC100106,2024-09-26 23:10:12,2024-09-27 00:56:12,P4,Resolved,Software,Deployment,DBA,dba.qamxe,API,Remote,Analytics-ETL,35,106.0,0,4.0,2880,False
INC100107,2025-06-06 12:57:51,2025-06-06 13:39:51,P3,Closed,Network,Latency,Security,security.wdilr,Monitoring,Pune,Analytics-ETL,28,42.0,0,,1440,False
INC100108,2025-05-01 03:26:36,2025-05-01 03:42:36,P4,Closed,Inquiry,Other,Service Desk,service.fetsg,Monitoring,Mumbai,Analytics-ETL,5,16.0,0,5.0,2880,False
INC100109,2025-05-30 13:02:09,2025-05-30 13:52:09,P1,Closed,Inquiry,How-to,Payments,payments.dpkmf,Monitoring,Remote,DB-Prod,25,50.0,0,5.0,60,False
INC100110,2024-09-19 07:10:38,,P4,In Progress,Software,Bug,Security,security.lgkcu,Portal,Delhi,Billing-Service,22,,1,4.0,2880,False
INC100111,2024-09-18 10:45:08,2024-09-18 11:32:08,P4,Resolved,Access,RBAC,DevOps,devops.lxdqs,Phone,Bangalore,Web-Frontend,12,47.0,0,4.0,2880,False
INC100112,2024-09-28 10:44:39,2024-09-28 11:08:39,P2,Resolved,Network,Outage,Infra,infra.kiwmj,API,Chennai,Web-Frontend,0,24.0,0,5.0,240,False
INC100113,2025-05-04 00:53:45,2025-05-04 01:17:45,P3,Closed,Software,Performance,DevOps,devops.hjria,API,Bangalore,DB-Prod,20,24.0,1,5.0,1440,False
INC100114,2025-03-21 15:20:56,2025-03-21 15:43:56,P3,Resolved,Access,SSO,DevOps,devops.sptzt,API,Mumbai,Email-Server,5,23.0,0,5.0,1440,False
INC100115,2025-05-18 00:03:07,2025-05-18 01:13:07,P3,Closed,Inquiry,How-to,DBA,dba.zzkmf,Monitoring,Hyderabad,Cache-Redis,14,70.0,1,,1440,False
INC100116,2025-02-15 15:02:19,2025-02-15 15:26:19,P3,Resolved,Hardware,Server,Network,network.abkkb,Phone,Chennai,Cache-Redis,8,24.0,0,5.0,1440,False
INC100117,2024-12-24 08:12:28,2024-12-24 08:34:28,P3,Closed,Network,Outage,Network,network.weuag,Email,Bangalore,Analytics-ETL,2,22.0,0,,1440,False
INC100118,2024-09-02 20:59:20,2024-09-02 21:14:20,P3,Closed,Network,Firewall,Security,security.dbfvd,API,Hyderabad,Cache-Redis,26,15.0,1,5.0,1440,False
INC100119,2025-08-12 11:03:56,2025-08-12 11:50:56,P3,Closed,Access,RBAC,Infra,infra.myuvf,Phone,Pune,Email-Server,14,47.0,0,,1440,False
INC100120,2025-05-10 13:22:22,2025-05-10 14:04:22,P3,Resolved,Software,Bug,Infra,infra.vucuz,Phone,Mumbai,Payments-API,16,42.0,0,3.0,1440,False
INC100121,2024-10-17 20:57:16,2024-10-17 21:20:16,P2,Resolved,Inquiry,Reporting,Analytics,analytics.ngpgd,Portal,Mumbai,DB-Prod,24,23.0,0,4.0,240,False
INC100122,2025-03-17 16:18:08,2025-03-17 16:36:08,P4,Resolved,Access,Password,Service Desk,service.getwt,API,Chennai,Payments-API,14,18.0,1,4.0,2880,False
INC100123,2024-08-19 13:36:24,2024-08-19 16:04:24,P1,Resolved,Hardware,Datacenter,DevOps,devops.awtqq,Monitoring,Bangalore,Billing-Service,19,148.0,0,5.0,60,True
INC100124,2024-12-21 20:51:18,2024-12-21 20:58:18,P4,Resolved,Hardware,Peripheral,Service Desk,service.rjkoh,Phone,Pune,Cache-Redis,23,7.0,1,3.0,2880,False
INC100125,2024-11-02 21:09:28,,P3,In Progress,Hardware,Laptop,App Support,app.qywev,Phone,Delhi,Search-Cluster,20,,0,,1440,False
INC100126,2025-07-14 01:41:43,2025-07-14 03:14:43,P3,Resolved,Access,SSO,Mobile,mobile.dghsi,Email,Chennai,Analytics-ETL,17,93.0,1,4.0,1440,False
INC100127,2025-03-18 14:13:20,,P4,In Progress,Inquiry,Feedback,DevOps,devops.jnfzn,Portal,Delhi,DB-Prod,32,,0,4.0,2880,False
INC100128,2025-02-04 04:09:15,2025-02-04 05:11:15,P3,Closed,Network,Latency,Service Desk,service.asctx,Phone,Chennai,Analytics-ETL,27,62.0,0,,1440,False
INC100129,2025-03-27 00:02:15,2025-03-27 00:29:15,P3,Resolved,Software,Bug,DBA,dba.lrjvc,Phone,Bangalore,Cache-Redis,14,27.0,0,4.0,1440,False
INC100130,2025-05-20 12:08:55,2025-05-20 12:48:55,P2,Closed,Network,Outage,Mobile,mobile.azjwx,Monitoring,Pune,VPN-Gateway,5,40.0,1,5.0,240,False
INC100131,2025-06-26 13:12:30,2025-06-26 13:37:30,P3,Resolved,Inquiry,Feedback,Infra,infra.vfifh,Monitoring,Bangalore,Cache-Redis,21,25.0,0,,1440,False
INC100132,2025-01-13 05:07:22,2025-01-13 06:25:22,P3,Resolved,Network,Outage,DevOps,devops.ncvsk,Email,Mumbai,DB-Prod,17,78.0,0,4.0,1440,False
INC100133,2025-02-10 11:20:18,2025-02-10 12:04:18,P1,Resolved,Access,RBAC,DevOps,devops.bzgpz,Email,Delhi,Web-Frontend,32,44.0,0,,60,False
INC100134,2025-02-20 12:51:28,2025-02-20 13:27:28,P3,Closed,Hardware,Laptop,Infra,infra.ckitc,Email,Hyderabad,DB-Prod,24,36.0,1,4.0,1440,False
INC100135,2024-09-08 02:31:35,,P2,New,Inquiry,Feedback,Analytics,analytics.pfera,Monitoring,Remote,Kubernetes-Cluster,22,,1,4.0,240,False
INC100136,2024-12-18 12:35:46,2024-12-18 15:04:46,P3,Resolved,Inquiry,Other,DBA,dba.hxtud,Monitoring,Mumbai,Search-Cluster,15,149.0,0,5.0,1440,False
INC100137,2024-10-13 07:54:10,2024-10-13 08:27:10,P2,Closed,Network,VPN,DevOps,devops.neuho,Portal,Mumbai,Cache-Redis,6,33.0,0,5.0,240,False
INC100138,2025-05-26 15:09:20,,P2,On Hold,Access,RBAC,Service Desk,service.ulnqn,API,Delhi,Kubernetes-Cluster,13,,1,4.0,240,False
INC100139,2025-03-25 14:23:54,2025-03-25 16:57:54,P2,Closed,Network,VPN,DevOps,devops.xzzjy,API,Chennai,Web-Frontend,19,154.0,0,4.0,240,False
INC100140,2025-02-20 12:37:24,2025-02-20 12:44:24,P4,Closed,Network,Firewall,Mobile,mobile.qzywm,Portal,Mumbai,Email-Server,2,7.0,0,5.0,2880,False
INC100141,2025-03-27 00:16:41,2025-03-27 00:35:41,P1,Closed,Inquiry,Other,DevOps,devops.xmmey,API,Remote,Email-Server,27,19.0,0,4.0,60,False
INC100142,2025-07-28 03:52:06,,P3,In Progress,Network,VPN,Service Desk,service.iqnwq,Monitoring,Pune,Search-Cluster,35,,0,,1440,False
INC100143,2024-12-28 05:04:57,2024-12-28 05:35:57,P2,Resolved,Hardware,Peripheral,Payments,payments.izxte,API,Mumbai,Billing-Service,4,31.0,1,,240,False
INC100144,2025-07-07 19:42:32,2025-07-07 20:20:32,P4,Resolved,Network,Outage,Mobile,mobile.mwcds,Monitoring,Pune,Search-Cluster,0,38.0,0,4.0,2880,False
INC100145,2024-10-02 14:22:19,2024-10-02 15:01:19,P2,Resolved,Hardware,Datacenter,Security,security.sinne,Portal,Bangalore,Search-Cluster,17,39.0,0,5.0,240,False
INC100146,2025-02-20 08:10:46,2025-02-20 09:26:46,P4,Resolved,Inquiry,Feedback,Security,security.pwhfw,Email,Chennai,Search-Cluster,9,76.0,1,4.0,2880,False
INC100147,2025-06-27 14:33:44,2025-06-27 16:22:44,P3,Resolved,Access,SSO,Mobile,mobile.xmxoy,Portal,Pune,Search-Cluster,17,109.0,0,5.0,1440,False
INC100148,2025-06-18 18:15:35,2025-06-18 19:26:35,P1,Closed,Hardware,Peripheral,DBA,dba.pwzhh,API,Mumbai,Search-Cluster,14,71.0,0,4.0,60,True
INC100149,2025-03-12 17:02:03,2025-03-12 17:23:03,P4,Closed,Access,SSO,Payments,payments.xwjqf,Monitoring,Chennai,Payments-API,4,21.0,0,5.0,2880,False
INC100150,2025-01-03 20:20:49,2025-01-03 20:37:49,P3,Resolved,Access,Provisioning,Mobile,mobile.jnmzq,API,Remote,Web-Frontend,27,17.0,0,5.0,1440,False
INC100151,2024-11-09 12:35:44,2024-11-09 13:08:44,P3,Resolved,Hardware,Peripheral,Service Desk,service.puonr,API,Chennai,DB-Prod,19,33.0,0,4.0,1440,False
INC100152,2024-10-10 14:39:43,2024-10-10 15:25:43,P4,Resolved,Inquiry,Feedback,App Support,app.fjzqb,Email,Pune,Cache-Redis,9,46.0,0,,2880,False
